Full Name,TEAMS,Batting Style,Bowling Style,Playing Role,description,imageurl
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,"Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20.That Rohit had talent was apparent to both the casual observer and to the trained eye. Fans were frustrated at the long wait for the potential to translate into runs, though selectors and captains, knowing better, kept backing him. At one point the word ""talent"" was Rohit's bugbear, a pejorative nickname for him on social media. Once it all clicked, though - the move to open the batting in ODIs late in 2012 was one particular turning point - things came together spectacularly.Rohit scored ODI double-hundreds for fun, won six IPLs in the first 15 editions of the tournament, scored five hundreds at the 2019 ODI World Cup, and when he finally got to open in Tests in 2019, three quick hundreds in his first series in the role, one of them a double. Ironically his IPL franchise nicknamed him ""Hitman"" when he was anything but: more caresser, less hitter. But Rohit still became known as one of the foremost hitters of colossal sixes of his era. So spectacular and certain was his acceleration that people began anticipate a massive score every time he went past 50.His captaincy at Mumbai Indians, whom he led to five titles, won plaudits. He proved himself a methodical, studious and calm leader, one not averse to using technology and data to arrive at decisions. He was an able deputy to Virat Kohli in limited-overs formats in international cricket, winning India two titles in Kohli's absence, and took over as captain in all formats in 2022.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316584.png"
Babar Azam,Pakistan,Right hand Bat,Right arm Offbreak,Batter,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time.Born in Lahore and a first cousin to the Akmal brothers, Azam made his way up through age-group cricket. His journey began at an under-15 world championship in 2008 and he played two under-19 World Cups in 2010 and 2012, where he was Pakistan's top run-scorer.""We didn't have to guide him, he was on his own, but we were supportive all the way,"" Kamran Akmal said. Azam had the distinction of top scoring regularly in age-group domestic cricket before he was called up to the national side in 2015 and made his debut during the home ODI series against Zimbabwe - a rarity because Azam's rise was during Pakistan's isolation as an international venue due to security concerns. His hat-trick of ODI hundreds against West Indies led to a Test debut in the Test series that followed, and Azam had to opportunity to cement his spot as the careers of Younis Khan and Misbah-ul-Haq wound down.He would grasp that opportunity, and then some. Over the years that followed, Azam became, far and away, Pakistan's best batsman, the most famous cricketer in the country, and among the best batsmen in the world. He is, even with so much of his career still ahead of him, one of Pakistan's best ever batsmen. He was the second fastest player to 2000 ODI runs and the second quickest to 1000 T20I runs. He already has more ODI hundreds than all but two Pakistan batsman, and a World Cup hundred in a crunch game against New Zealand will go down as one of the great individual Pakistan ODI performances. While the first couple of years of Test cricket didn't bring the instantaneous success of white-ball cricket, steady improvements year on year have seen him rank among the best Test batsmen since the start of 2018, too. Several Pakistan players of this generation have seen regressions after a few years in the side, but Azam, mercifully for Pakistan, seems immune to even that malaise. The increased responsibility Pakistan have dumped upon his shoulders - he was appointed T20I and ODI captain in 2019 before eventually captaining the Test side since 2021 - appears to have had little impact on his personal form for now. While he doesn't quite have a reputation as one of the deeper thinkers of the game, his captaincy shows embryonic signs of modern progressive thinking, and Azam is very much learning on the job. There appears to be no attempt to ease any of the pressure placed upon relatively young shoulders, but Azam appears not to be feeling the strain for now. Danyal Rasool","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320448.png"
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up. Potential translated to performance when he was his state's highest wicket-taker playing only his second season of Ranji Trophy - 41 wickets in nine matches. He was subsequently picked to play for the Rest of India and was brought on board by the India A team as well for a tour of South Africa in July-August 2017. The step up to the big league arrived soon after. 
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322611.png"
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010.Williamson was born into a sporting family in Tauranga, the largest city in New Zealand's Bay of Plenty region. His father had played Under-17 cricket for Northern Districts, his mother was a representative basketball player, and his sisters played volleyball at age-group level. Williamson took to cricket and it grew beyond a hobby quite quickly.He was modest about his skills, too, - ""Everyone is gifted, I guess, but you get some that seem exceptionally so. I'm not one of them,"" - yet Williamson was billed to make it since he was 14. He scored a century on Test debut at the age of 20, and at 24 years and 151 days he was the youngest New Zealand batsman to 3000 Test runs- younger than Don Bradman too.At the crease, Williamson is comfortable against pace and spin, and he trusts the coaching manual explicitly despite the mutation of batting in the Twenty20 era. Among his best performances is his maiden Test double-century in January 2015, which helped New Zealand come from behind and beat Sri Lanka in Wellington. The innings was a testament to Williamson's hunger for runs and batting time - he was dissatisfied despite making 242 in over 10 hours.Williamson has made his orthodoxy work and is capable of scoring at a brisk tempo - he has a T20 hundred for Northern Knights and became the quickest New Zealand batsman, and fifth overall, to 3000 ODI runs. For a measure of his consistency, he has two streaks of five or more successive fifty-plus scores in ODIs in 20 months since 2014.He is rarely drawn to emotion and is a genial, but hard, competitor - Williamson once struck the winning six in a roller-coaster, one-wicket win over Australia in the 2015 World Cup, and celebrated with a smile and the calmest of fist pumps as Eden Park exploded in raucous jubilation. Williamson is also an outstanding catcher and a part-time offspinner, though he needed to remodel his bowling after being banned from bowling in international cricket in June 2014 for an illegal action.With the mental strength to match his skills, Williamson was an automatic choice to take over the captaincy at the World T20 in 2016, soon after the retirement of the inspirational Brendon McCullum. Williamson led the team to four back-to-back victories in India, and was highly praised for his tactics that helped the team adapt to slow, turning pitches, before they were beaten by England in the semi-final.In 2018, Williamson led New Zealand to two famous Test series wins. In April, he became the fourth New Zealand captain to win a series against England. In December, he was the chief architect of New Zealand's first away Test series win over Pakistan in 49 years, with 89 and 139 in the final Test. He became the first New Zealander to score 20 Test centuries in 2019 with an unbeaten double century against Bangladesh at home. But he elevated himself into the global pantheon of greats at the 2019 World Cup, where he was not only named player of the tournament but he carried himself with unprecedented class as the trophy was snatched from New Zealand's hands by England in the greatest final of all time. He made two match-winning centuries against South Africa and West Indies and a vital 67 in a famous semi-final win against India to get New Zealand to a second successive World Cup final. His captaincy and calmness among the mayhem of a tied final and tied Super Over was extraordinary. His conduct in the aftermath having lost the Cup on a one-off tie-break provision where the team with the most boundaries wins, was even more incredible.
Alagappan Muthu","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316618.png"
Scott Edwards,Netherlands,Right hand Bat,,Wicketkeeper Batter,"Born in Tonga and raised in Australia, Scott Edwards made his Netherlands debut in 2017 and decided to abandon his electrical apprenticeship and commit to Dutch cricket. Five years later, he was established in the side as an innovative middle-order batter and wicketkeeper, and took over the captaincy when Pieter Seelaar retired.Edwards is a dual passport holder thanks to his grandmother's Dutch roots and, as an 18-year-old, he played a season of club cricket for Excelsior in Rotterdam which put him on the Netherlands' radar. He moved back to Australia but when Tobias Visee went down injured, Ryan Campbell called him up to face Namibia in the Intercontinental Cup and the World Cricket League.He committed fully, relocating to the Netherlands and getting a Dutch lion tattooed on his ankle, though continued to play grade cricket for Richmond during the Australian summers. He captained Netherlands in both the 2022 T20 World Cup and 2023 ODI World Cup, and his side recorded famous wins over South Africa in both tournaments. By his own admission, Edwards is a self-made cricketer who received limited technical coaching as a young player. He is particularly strong sweeping, reverse-sweeping and scooping and has an excellent record against spin.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322500/322592.png"
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348599.png"
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,"Sam Curran, younger brother of Tom Curran, his fellow Surrey all-rounder, and son of the former Zimbabwe cricketer Kevin Curran, fulfilled his destiny at the age of 19 years and 363 days, when he made his Test debut against Pakistan at Headingley in June 2018. One Test later, he scooped his maiden Man-of-the-Match award, after four first-innings wickets and a thrilling counter-attacking half-century had given England the edge in a gripping Edgbaston Test against India. His success merely heightened the debate as to whether batting or bowling will ultimately become his strongest suit. Perhaps the only real conclusion to that debate is it does not matter. Curran has developed into an X-factor cricketer of global repute. He was player of the T20 World Cup in 2022, taking 13 wickets at 11.38, with an economy rate of 6.52, emerging as a canny death bowler to take England to glory. He signed off with a player of the match performance in the final against Pakistan, taking 3 for 12. Punjab Kings subsequently made him the most expensive buy at an IPL auction, outbidding five other teams to acquire his services for INR 18.50 crore (£1.85 million approximately). Back in 2018, the same franchise - Kings XI Pubjab, as they were known at the time - purchased him for INR 7.2 crore (£800,000 approximately). It was at the IPL, while playing for Chennai Super Kings, he showed his dexterity as a makeshift opening batter, having primarily been used as a hitter down the order. His absence from Test duties in 2022 was more through circumstance than design. A back injury ruled him out of the 2021/22 Ashes which took time to shake off. Now, however, both player and national team are aligned. As a leftie in both disciplines, his skillset is a rarity as far as English red ball bowling stocks are concerned, and his composure with bat in hand has never been questioned. Having fallen in the nineties twice in first class cricket, he finally made it to three figures in June 2022 with 126 against Kent. It was his 120th innings in the format. Curran has belied his slight frame from the moment he entered Surrey's 1st X1 in 2015, showing a natural ability to swing his left-armers at a decent lick and full of ambition at the crease. The combative nature of his cricket marked him down as a special cricketer in the making, winning attention from England Lions at the end of the 2016 season.Curran made an eye-catching Championship debut against Kent at The Oval when he took five wickets in the first innings, eight in all in the match, at only 17. Surrey research suggested he was the youngest-ever player to achieve a five-wicket haul in the Championship and the second youngest Surrey debutant. He opened the bowling with his brother, Tom, and took a wicket with his fifth ball when an inswinger bowled Joe Denly. At 17 years and 40 days old, his first-class debut came 69 years to the day after Tony Lock, the youngest player to play for Surrey at 17 years and eight days, made his first appearance - also against Kent - at the Oval on July 13, 1946. He showed an ability to swing the ball into the right-hander from the outset. That there was aggression, too, was evident even before his debut when he filled in for a Surrey T20 practice match and struck Gary Wilson on the helmet with one of the first balls he bowled. His laid-back personality was also evident when he was given a day off school by Wellington College, where he was taking A levels in PE, Art and Business Studies, to play in a Royal London Cup semi-final against Nottinghamshire at The Oval, where he first came to the attention of a wider audience with a composed, energetic display.Two successive runners-up medals in the Royal London Cup final, as Surrey lost Lord's finals against Gloucestershire and Warwickshire, were not a bad start for a player still only 18, but such is Curran's competitive nature, it is doubtful that he found much consolation in either of them. In a 2016 summer that brought so much to admire with bat and ball, there was a 96 against Lancashire - ended when a tame return catch to the offspinner Arron Lilley was followed by a disconsolate walk from the crease, in the words of ESPNcricinfo's reporter, as if he had just lost a game of Pokemon Go - and four wickets in seven ball against Durham on the way to the first six-for of his Championship career.
ESPNcricinfo staff
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323113.png"
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler,"Hasan Mahmud is one among a group of young pace bowlers who have given hope of a fast bowling uprising in Bangladesh, after decades of reliance on spin. Mahmud is still at a very early stage of his career, having just played a single T20I for Bangladesh, and earned a maiden call-up in the ODI side in January 2021, but already he has earned plenty of praise from Bangladesh's coaches for his ability to bowl fast, full and accurately. Mahmud is also one of the rarities in Bangladesh cricket, in that he is also a very good outfielder among the pace bowlers. He is not very tall, but with an action that is mostly front-on, he generates enough pace to beat the bat. During the Bangabandhu T20 Cup in November 2020, Mahmud took eleven wickets for eventual champions Gemcon Khulna, which got him the ODI call-up against West Indies.He mainly emerged from the BCB's age-group structure, having first played for the Chattogram Under-16s in 2015, since he is from Laxmipur, a district within the Chattogram Division. He developed for three years in the system, culminating in his nine wickets in the 2018 Under-19 World Cup.He quickly followed it up with 12 wickets in the Dhaka Premier League (List-A) and continued to play for the Under-23 side. In the 2019-20 season, he took ten wickets each in the BPL (T20s) and Bangladesh Cricket League (first-class) competitions, before making his T20I debut against Zimbabwe in March 2020.Mohammad Isam
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323172.png"
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother.Riaz Afridi made his solitary Test performance for Pakistan in 2004, when Shaheen was just four years old. He pushed Shaheen to hard-ball cricket following years of the younger brother enjoying success in Pakistan's informal tape-ball circuit. In 2015, FATA selected him after an U-16 talent hunt programme. His pace, physique and fitness won him an U-16 tour of Australia, and since then, he's been progressing through the youth squads. He burst into the nation's consciousness with 8 for 39 on Quaid-e-Azam Trophy debut, the best-ever figures by a debutant in the competition. Later, he was picked for the PSL, where figures of five wickets for four runs in a group game for Lahore Qalandars won him a place in the T20I squad against the West Indies. He became the first cricketer born after the turn of the millennium to represent Pakistan when he played the third T20I against the West Indies. He was later handed an ODI debut in the Asia Cup, where he replaced Mohammad Amir in the side. In December, he became the 35th player to make his Test debut for Pakistan under the age of 19.There is more to him than just his story, however compelling that may be in its own right. He stands at an imposing 6ft 6in, though a sweet, child-like smile and a harmless demeanour perhaps takes some of the aura away. He has the intelligence to take advantage of his height to extract bounce on the docile pitches of the UAE, while a mean yorker has proved especially difficult for batsmen to deal with. Most impressively, he can hit a good length time and again, and appears to have the temperament for a long career at this level. There have been flattering comparisons already, with Pakistan boasting a rich tradition of left-arm fast bowling. In truth, he really is nothing like Wasim Akram or Mohammad Amir, both of whom were shorter bowlers who relied more on swing than bounce. Perhaps the most accurate contemporary comparison is to Mitchell Starc, something Mickey Arthur pointed out during the PSL earlier this year. He has made an impressive start to international cricket, but for Shaheen, many sense this is indeed, just the start. Danyal Rasool
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322250.png"
Usama Mir,Pakistan,Right hand Bat,Legbreak,Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/313600/313621.png"
